Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

tutorialTipQuest01,Journal Tip,,,,"Welcome to Outback Roadies.\n\nIt looks like a zombie got ya, and took your clobber! You may be immune, but you are not immortal. That friendly fox over there took care of you.\n\nGive that friendly fox over there the contents of your dog food can, and it'll stick by your side.\n\nComplete your 2 survival quests and stay alert, Road Warrior.",,,,,,,,,,,,,
quest_BasicSurvival1,Quest,Quest Info,,,Basic Survival 1/2,,Das 1x1 des Überlebens 1/2,Supervivencia básica 1/2,Les bases de la survie 1/2,Basi della sopravvivenza 1/2,生き残るための基礎知識 1/2,기본 생존 1/2,Podstawy przetrwania 1/2,Sobrevivência Básica 1/2,Основы выживания 1/2,Temel Hayatta Kalma 1/2,基础生存 1/2,基本生存 1/2
quest_BasicSurvival8,Quest,Quest Info,,,Basic Survival 2/2,,Das 1x1 des Überlebens 2/2,Supervivencia básica 2/2,Les bases de la survie 2/2,Basi della sopravvivenza 2/2,生き残るための基礎知識 2/2,기본 생존 2/2,Podstawy przetrwania 2/2,Sobrevivência Básica 2/2,Основы выживания 2/2,Temel Hayatta Kalma 2/2,基础生存 2/2,基本生存 2/2
quest_WhiteRiverCitizen1_description,Quest,Quest Info,,,"Good on ya!\n\nWe have marked your map with the location of a Trader Servo. Collect 8 Skill Points for your troubles.\n\nWelcome to Outback Roadies.",,,,,,,,,,,,,
questRewardMagazineBundleDesc,items,item,,,A bundle of 5 random crafting skill magazines.,,Ein Paket mit 5 zufälligen Zeitschriften für Handwerksfertigkeiten.,Un conjunto de 5 revistas de habilidades de fabricación al azar.,Un paquet de 5 magazines sur les compétences en fabrication aléatoires.,Un pacchetto di 5 riviste di creazione casuali.,5つのランダムなクラフトスキル雑誌のバンドル。,무작위 제작 스킬 잡지 5종류 묶음입니다.,Pakiet 5 losowych magazynów podnoszących umiejętności wytwórcze.,Conjunto de 5 revistas de habilidade de fabricação aleatórias,Комплект из 5 случайных журналов по навыкам изготовления.,Rastgele 5 üretim beceri dergisinden oluşan bir paket.,5本随机制作技能杂志的组合包。,內含五本隨機製作技能雜誌的梱包。

OutbackRoadiesStarterKit,items,item,,,Outback Roadies Starter Kit,,,,,,,,,,,,,
OutbackRoadiesStarterKitDesc,items,item,,,"This will get things rolling in Outback Roadies.",,,,,,,,,,,,,
StarterRewardPocoCar,items,item,,,Random Outback Roadies Vehicle,,,,,,,,,,,,,
StarterRewardPocoCarDesc,items,item,,,"This contains one random outback roadies vehicle. There are 9 to collect.",,,,,,,,,,,,,
npcAnimalFoxStarterFood,items,item,,,Friendly Fox Food,,,,,,,,,,,,,
npcAnimalFoxStarterFoodDesc,items,item,,,"While you were sleeping it off, a friendly fox licked your face and brought you back to your senses. The fox is still very close and will accompany you if you share the contents of this can.",,,,,,,,,,,,,
bakerPickUpNPC,items,item,,,Baker (Resting),,,,,,,,,,,,,
bakerPickUpNPCDesc,items,item,,,"You are carrying your hired baker helper. Put him in your active toolbelt slot to place him down.",,,,,,,,,,,,,
nursePickUpNPC,items,item,,,Nurse (Resting),,,,,,,,,,,,,
nursePickUpNPCDesc,items,item,,,"You are carrying your hired nurse helper. Put her in your active toolbelt slot to place her down.",,,,,,,,,,,,,
foxPickUpNPC,items,item,,,Friendly Fox (Resting),,,,,,,,,,,,,
foxPickUpNPCDesc,items,item,,,"You are carrying your friendly fox. Put it in your active toolbelt slot to place it down.",,,,,,,,,,,,,

perkDeadEyeRank1LongDesc,progression,perk Per,,,"Pot Shot. You can hit the broad side of a barn and do 10% more damage with rifles. Aim 10% faster and reload 12% faster.",,,,,,,,,,,,,,,
perkDeadEyeRank2LongDesc,progression,perk Per,,,"You are a rifleman and can hit a large rock at 30 yards. Rifles deal 20% more damage, aim 20% faster, reload 19% faster.",,,,,,,,,,,,,
